m    n        time   heap     comparisons

16   1003520  28.38  2578969  59057  
16   1013760  27.98  2583705  59649  
16   10240    7.98   47129    625    
16   102400   7.94   319897   6049   
16   1024000  29.70  2588569  60257  
16   1034240  32.49  2593433  60865  
16   1044480  29.80  2598169  61457  
16   112640   7.08   324761   6657   
16   122880   7.05   329497   7249   
16   133120   7.95   596505   7857   
16   143360   8.86   601241   8449   
16   153600   8.46   606105   9057   
16   163840   9.61   610969   9665   
16   174080   9.47   615705   10257  
16   184320   9.91   620569   10865  
16   194560   9.05   625433   11473  
16   20480    5.59   84761    1233   
16   204800   9.72   630169   12065  
16   215040   10.46  635033   12673  
16   225280   10.89  639897   13281  
16   235520   12.05  644633   13873  
16   245760   12.26  649497   14481  
16   256000   11.75  654361   15089  
16   266240   11.86  1183385  15681  
16   276480   11.74  1188249  16289  
16   286720   12.60  1193113  16897  
16   296960   11.94  1197849  17489  
16   30720    5.19   89497    1825   
16   307200   12.25  1202713  18097  
16   317440   12.12  1207449  18689  
16   327680   12.40  1212313  19297  
16   337920   13.37  1217177  19905  
16   348160   13.13  1221913  20497  
16   358400   12.89  1226777  21105  
16   368640   12.95  1231641  21713  
16   378880   14.09  1236377  22305  
16   389120   13.81  1241241  22913  
16   399360   14.62  1246105  23521  
16   40960    5.66   159897   2433   
16   409600   13.26  1250841  24113  
16   419840   15.03  1255705  24721  
16   430080   14.38  1260569  25329  
16   440320   15.00  1265305  25921  
16   450560   15.17  1270169  26529  
16   460800   16.25  1275033  27137  
16   471040   17.01  1279769  27729  
16   481280   15.54  1284633  28337  
16   491520   16.08  1289369  28929  
16   501760   16.85  1294233  29537  
16   51200    7.04   164761   3041   
16   512000   17.43  1299097  30145  
16   522240   16.87  1303833  30737  
16   532480   18.20  2357273  31345  
16   542720   17.69  2362137  31953  
16   552960   18.14  2366873  32545  
16   563200   18.09  2371737  33153  
16   573440   17.78  2376601  33761  
16   583680   18.34  2381337  34353  
16   593920   18.51  2386201  34961  
16   604160   19.75  2391065  35569  
16   61440    5.59   169497   3633   
16   614400   20.40  2395801  36161  
16   624640   19.49  2400665  36769  
16   634880   20.33  2405529  37377  
16   645120   20.02  2410265  37969  

256  1003520  26.24  2156697  4353   
256  1013760  26.43  2156697  4353   
256  10240    4.70   61593    513    
256  102400   12.57  293017   769    
256  1024000  25.30  2156697  4353   
256  1034240  29.21  2156697  4353   
256  1044480  31.14  2156697  4353   
256  112640   7.37   293017   769    
256  122880   7.21   293017   769    
256  133120   7.80   557209   1025   
256  143360   8.47   557209   1025   
256  153600   8.36   557209   1025   
256  163840   8.86   557209   1025   
256  174080   8.42   557209   1025   
256  184320   9.58   557209   1025   
256  194560   9.16   557209   1025   
256  20480    5.87   94361    513    
256  204800   9.34   559257   1281   
256  215040   10.67  559257   1281   
256  225280   10.52  559257   1281   
256  235520   9.97   559257   1281   
256  245760   10.86  559257   1281   
256  256000   10.38  559257   1281   
256  266240   11.49  1085593  1537   
256  276480   11.12  1085593  1537   
256  286720   11.07  1085593  1537   
256  296960   13.05  1085593  1537   
256  30720    4.90   94361    513    
256  307200   11.17  1085593  1537   
256  317440   11.59  1085593  1537   
256  327680   11.27  1085593  1537   
256  337920   12.64  1087641  1793   
256  348160   12.05  1087641  1793   
256  358400   12.28  1087641  1793   
256  368640   12.31  1087641  1793   
256  378880   13.71  1087641  1793   
256  389120   12.76  1087641  1793   
256  399360   12.93  1089689  2049   
256  40960    5.65   159897   513    
256  409600   13.29  1089689  2049   
256  419840   14.35  1089689  2049   
256  430080   15.66  1089689  2049   
256  440320   13.87  1089689  2049   
256  450560   16.29  1089689  2049   
256  460800   15.62  1089689  2049   
256  471040   16.02  1091737  2305   
256  481280   16.73  1091737  2305   
256  491520   15.55  1091737  2305   
256  501760   16.66  1091737  2305   
256  51200    6.47   159897   513    
256  512000   15.81  1091737  2305   
256  522240   15.52  1091737  2305   
256  532480   16.84  2142361  2561   
256  542720   17.59  2142361  2561   
256  552960   17.16  2142361  2561   
256  563200   17.31  2142361  2561   
256  573440   15.87  2142361  2561   
256  583680   17.40  2142361  2561   
256  593920   17.07  2144409  2817   
256  604160   17.55  2144409  2817   
256  61440    6.89   159897   513    
256  614400   17.10  2144409  2817   
256  624640   18.36  2144409  2817   
256  634880   18.73  2144409  2817   
256  645120   19.15  2144409  2817   

64   1003520  28.24  2234009  15553  
64   1013760  26.60  2235033  15681  
64   10240    3.20   47257    257    
64   102400   12.95  287897   1665   
64   1024000  27.56  2236569  15873  
64   1034240  30.51  2237593  16001  
64   1044480  30.75  2239129  16193  
64   112640   8.06   289433   1857   
64   122880   7.26   290457   1985   
64   133120   8.53   553625   2113   
64   143360   9.06   555161   2305   
64   153600   8.49   556185   2433   
64   163840   8.19   557721   2625   
64   174080   9.07   558745   2753   
64   184320   8.54   560281   2945   
64   194560   8.62   561305   3073   
64   20480    5.05   81049    385    
64   204800   9.89   562841   3265   
64   215040   10.85  563865   3393   
64   225280   10.42  565401   3585   
64   235520   11.17  566425   3713   
64   245760   10.42  567961   3905   
64   256000   10.64  568985   4033   
64   266240   11.13  1094297  4161   
64   276480   11.22  1095833  4353   
64   286720   11.29  1096857  4481   
64   296960   11.63  1098393  4673   
64   30720    4.55   82585    577    
64   307200   11.85  1099417  4801   
64   317440   11.75  1100953  4993   
64   327680   11.79  1101977  5121   
64   337920   12.79  1103513  5313   
64   348160   13.34  1104537  5441   
64   358400   12.51  1106073  5633   
64   368640   12.00  1107097  5761   
64   378880   13.91  1108633  5953   
64   389120   13.49  1109657  6081   
64   399360   13.63  1110681  6209   
64   40960    6.23   149145   705    
64   409600   13.56  1112217  6401   
64   419840   13.09  1113241  6529   
64   430080   14.40  1114777  6721   
64   440320   14.11  1115801  6849   
64   450560   15.55  1117337  7041   
64   460800   14.68  1118361  7169   
64   471040   15.56  1119897  7361   
64   481280   15.41  1120921  7489   
64   491520   16.07  1122457  7681   
64   501760   16.83  1123481  7809   
64   51200    5.87   150681   897    
64   512000   16.05  1125017  8001   
64   522240   16.82  1126041  8129   
64   532480   16.50  2175641  8257   
64   542720   16.36  2177177  8449   
64   552960   16.90  2178201  8577   
64   563200   16.85  2179737  8769   
64   573440   18.14  2180761  8897   
64   583680   16.71  2182297  9089   
64   593920   17.99  2183321  9217   
64   604160   18.28  2184857  9409   
64   61440    6.11   151705   1025   
64   614400   18.24  2185881  9537   
64   624640   18.57  2187417  9729   
64   634880   20.05  2188441  9857   
64   645120   18.98  2189977  10049  
