m    n        time   heap     comparisons
256  1003520  26.24  2156697  4353   
256  1013760  26.43  2156697  4353   
256  10240    4.70   61593    513    
256  102400   12.57  293017   769    
256  1024000  25.30  2156697  4353   
256  1034240  29.21  2156697  4353   
256  1044480  31.14  2156697  4353   
256  112640   7.37   293017   769    
256  122880   7.21   293017   769    
256  133120   7.80   557209   1025   
256  143360   8.47   557209   1025   
256  153600   8.36   557209   1025   
256  163840   8.86   557209   1025   
256  174080   8.42   557209   1025   
256  184320   9.58   557209   1025   
256  194560   9.16   557209   1025   
256  20480    5.87   94361    513    
256  204800   9.34   559257   1281   
256  215040   10.67  559257   1281   
256  225280   10.52  559257   1281   
256  235520   9.97   559257   1281   
256  245760   10.86  559257   1281   
256  256000   10.38  559257   1281   
256  266240   11.49  1085593  1537   
256  276480   11.12  1085593  1537   
256  286720   11.07  1085593  1537   
256  296960   13.05  1085593  1537   
256  30720    4.90   94361    513    
256  307200   11.17  1085593  1537   
256  317440   11.59  1085593  1537   
256  327680   11.27  1085593  1537   
256  337920   12.64  1087641  1793   
256  348160   12.05  1087641  1793   
256  358400   12.28  1087641  1793   
256  368640   12.31  1087641  1793   
256  378880   13.71  1087641  1793   
256  389120   12.76  1087641  1793   
256  399360   12.93  1089689  2049   
256  40960    5.65   159897   513    
256  409600   13.29  1089689  2049   
256  419840   14.35  1089689  2049   
256  430080   15.66  1089689  2049   
256  440320   13.87  1089689  2049   
256  450560   16.29  1089689  2049   
256  460800   15.62  1089689  2049   
256  471040   16.02  1091737  2305   
256  481280   16.73  1091737  2305   
256  491520   15.55  1091737  2305   
256  501760   16.66  1091737  2305   
256  51200    6.47   159897   513    
256  512000   15.81  1091737  2305   
256  522240   15.52  1091737  2305   
256  532480   16.84  2142361  2561   
256  542720   17.59  2142361  2561   
256  552960   17.16  2142361  2561   
256  563200   17.31  2142361  2561   
256  573440   15.87  2142361  2561   
256  583680   17.40  2142361  2561   
256  593920   17.07  2144409  2817   
256  604160   17.55  2144409  2817   
256  61440    6.89   159897   513    
256  614400   17.10  2144409  2817   
256  624640   18.36  2144409  2817   
256  634880   18.73  2144409  2817   
256  645120   19.15  2144409  2817   

