m    n        time   heap     comparisons
64   1004544  27.14  3111985  173674  
64   1014784  31.15  3347297  207735  
64   1024     3.59   13617    165     
64   1025024  37.38  2994257  156111  
64   103424   6.55   392105   21110   
64   1035264  32.13  3686601  272545  
64   1045504  30.13  3577017  253241  
64   11264    3.83   52049    1514    
64   113664   7.35   396817   21716   
64   123904   6.56   392921   20818   
64   134144   7.12   657873   21595   
64   144384   7.83   714257   29997   
64   154624   8.12   689657   27346   
64   164864   9.68   795409   43731   
64   175104   10.13  867177   58308   
64   185344   9.25   750497   38217   
64   195584   9.15   693473   27939   
64   205824   9.70   792145   44232   
64   21504    4.84   99497    4229    
64   216064   9.48   806033   46864   
64   226304   9.99   739489   35589   
64   236544   10.85  844449   53711   
64   246784   12.31  851801   55363   
64   257024   12.83  860745   57072   
64   267264   12.85  1345937  50634   
64   277504   12.97  1438505  65972   
64   287744   11.92  1290641  40094   
64   297984   12.28  1407921  61391   
64   308224   13.33  1412145  62309   
64   31744    5.80   120745   7525    
64   318464   13.39  1445849  67429   
64   328704   13.41  1450921  69114   
64   338944   13.76  1463713  70723   
64   349184   14.54  1629081  100017  
64   359424   15.15  1381209  56556   
64   369664   14.86  1482209  73143   
64   379904   15.26  1568513  89908   
64   390144   14.90  1471233  72737   
64   400384   14.24  1483561  74742   
64   410624   15.75  1435369  66558   
64   41984    5.49   189065   8308    
64   420864   15.20  1626401  97615   
64   431104   17.46  1613417  97788   
64   441344   16.73  1628377  99948   
64   451584   15.62  1471881  71350   
64   461824   16.49  1504369  78466   
64   472064   17.86  1676273  108905  
64   482304   19.04  1604537  95262   
64   492544   17.17  1452137  69161   
64   502784   16.93  1499681  76239   
64   513024   21.08  1757617  123019  
64   52224    6.23   198433   10072   
64   523264   17.42  1667937  104679  
64   533504   20.66  2716753  107442  
64   543744   18.01  2754969  113950  
64   553984   19.80  2878673  135518  
64   564224   22.48  3272601  205189  
64   574464   20.07  3063481  168017  
64   584704   20.27  2616121  87739   
64   594944   20.72  2706889  105665  
64   605184   20.12  2779993  118614  
64   615424   20.98  2912273  141699  
64   62464    6.09   220169   13466   
64   625664   20.21  2929193  141598  
64   635904   20.33  2889241  134748  
64   646144   19.29  2619913  89992   
64   656384   20.27  2788657  120078  
64   666624   21.71  3104049  175020  
64   676864   21.82  3106593  174597  
64   687104   22.62  3179681  183559  
64   697344   22.83  3195545  190977  
64   707584   20.40  2685121  102255  
64   717824   21.21  3068169  168765  
64   72704    5.91   323281   8767    
64   728064   23.05  2892105  136998  
64   738304   24.49  3375617  223651  
64   748544   20.95  2788921  120491  
64   758784   23.24  3155889  184631  
64   769024   23.44  3007153  154646  
64   779264   24.03  3215393  194408  
64   789504   24.25  3266593  204891  
64   799744   23.51  2893985  136023  
64   809984   23.09  2943337  147000  
64   820224   24.18  2789993  119394  
64   82944    6.39   413409   24766   
64   830464   25.51  2990881  156058  
64   840704   23.45  2794801  121406  
64   850944   26.11  3334201  214231  
64   861184   25.51  3117025  177795  
64   871424   22.78  2802257  122115  
64   881664   26.53  3252153  201533  
64   891904   25.13  2947993  145293  
64   902144   28.07  3340041  211979  
64   912384   27.47  3083841  171658  
64   922624   26.06  3229553  198994  
64   93184    6.30   432953   28160   
64   932864   26.54  3137593  181481  
64   943104   30.92  3839105  298326  
64   953344   28.93  3209321  193993  
64   963584   27.74  3188041  191036  
64   973824   28.03  3176465  189050  
64   984064   28.53  3122057  179604  
64   994304   30.29  3564585  256433  
