m    n        time   heap     comparisons
64   1003520  28.24  2234009  15553  
64   1013760  26.60  2235033  15681  
64   10240    3.20   47257    257    
64   102400   12.95  287897   1665   
64   1024000  27.56  2236569  15873  
64   1034240  30.51  2237593  16001  
64   1044480  30.75  2239129  16193  
64   112640   8.06   289433   1857   
64   122880   7.26   290457   1985   
64   133120   8.53   553625   2113   
64   143360   9.06   555161   2305   
64   153600   8.49   556185   2433   
64   163840   8.19   557721   2625   
64   174080   9.07   558745   2753   
64   184320   8.54   560281   2945   
64   194560   8.62   561305   3073   
64   20480    5.05   81049    385    
64   204800   9.89   562841   3265   
64   215040   10.85  563865   3393   
64   225280   10.42  565401   3585   
64   235520   11.17  566425   3713   
64   245760   10.42  567961   3905   
64   256000   10.64  568985   4033   
64   266240   11.13  1094297  4161   
64   276480   11.22  1095833  4353   
64   286720   11.29  1096857  4481   
64   296960   11.63  1098393  4673   
64   30720    4.55   82585    577    
64   307200   11.85  1099417  4801   
64   317440   11.75  1100953  4993   
64   327680   11.79  1101977  5121   
64   337920   12.79  1103513  5313   
64   348160   13.34  1104537  5441   
64   358400   12.51  1106073  5633   
64   368640   12.00  1107097  5761   
64   378880   13.91  1108633  5953   
64   389120   13.49  1109657  6081   
64   399360   13.63  1110681  6209   
64   40960    6.23   149145   705    
64   409600   13.56  1112217  6401   
64   419840   13.09  1113241  6529   
64   430080   14.40  1114777  6721   
64   440320   14.11  1115801  6849   
64   450560   15.55  1117337  7041   
64   460800   14.68  1118361  7169   
64   471040   15.56  1119897  7361   
64   481280   15.41  1120921  7489   
64   491520   16.07  1122457  7681   
64   501760   16.83  1123481  7809   
64   51200    5.87   150681   897    
64   512000   16.05  1125017  8001   
64   522240   16.82  1126041  8129   
64   532480   16.50  2175641  8257   
64   542720   16.36  2177177  8449   
64   552960   16.90  2178201  8577   
64   563200   16.85  2179737  8769   
64   573440   18.14  2180761  8897   
64   583680   16.71  2182297  9089   
64   593920   17.99  2183321  9217   
64   604160   18.28  2184857  9409   
64   61440    6.11   151705   1025   
64   614400   18.24  2185881  9537   
64   624640   18.57  2187417  9729   
64   634880   20.05  2188441  9857   
64   645120   18.98  2189977  10049  
