m    n        time   heap     comparisons
256  1004544  27.52  3179721  180548  
256  1014784  26.11  2923257  139532  
256  1024     3.58   20257    113     
256  1025024  33.79  2738897  110191  
256  103424   5.91   367441   15275   
256  1035264  28.56  2807945  121867  
256  1045504  28.78  3349337  216247  
256  11264    4.29   57993    1383    
256  113664   5.99   368801   15282   
256  123904   8.61   399281   20561   
256  134144   8.42   680457   24251   
256  144384   7.66   627169   14740   
256  154624   9.02   784545   42646   
256  164864   9.28   664889   21609   
256  175104   9.19   720041   30763   
256  185344   8.54   691993   26356   
256  195584   9.43   677961   23813   
256  205824   9.41   746289   35992   
256  21504    5.03   95489    2152    
256  216064   8.49   714705   29870   
256  226304   10.86  677897   23914   
256  236544   10.66  799825   44333   
256  246784   10.22  743977   35540   
256  257024   11.89  827481   49108   
256  267264   11.73  1281305  37701   
256  277504   11.83  1217585  26052   
256  287744   10.88  1303601  41842   
256  297984   10.36  1348073  47918   
256  308224   14.17  1435593  63453   
256  31744    6.09   127441   7675    
256  318464   12.40  1382561  55560   
256  328704   12.01  1280457  37165   
256  338944   12.64  1339897  48249   
256  349184   13.24  1321409  45000   
256  359424   14.48  1449145  65479   
256  369664   15.41  1361329  51828   
256  379904   12.34  1379145  55064   
256  390144   15.39  1381793  56050   
256  400384   13.79  1361777  51067   
256  410624   14.88  1432657  64494   
256  41984    5.62   193713   7909    
256  420864   14.97  1465585  69157   
256  431104   15.27  1648185  102451  
256  441344   14.86  1497121  72115   
256  451584   15.10  1449825  67820   
256  461824   17.95  1672945  106606  
256  472064   15.41  1445857  64524   
256  482304   16.22  1491481  75011   
256  492544   18.63  1702049  111920  
256  502784   16.83  1436897  65717   
256  513024   17.22  1310401  42977   
256  52224    5.66   186105   6583    
256  523264   18.88  1484401  72965   
256  533504   19.23  2685425  96835   
256  543744   18.19  2589505  83753   
256  553984   19.12  2616673  86571   
256  564224   20.64  2774273  115453  
256  574464   17.81  2496129  67184   
256  584704   18.12  2564729  79590   
256  594944   19.14  2350353  41663   
256  605184   21.15  2578633  81109   
256  615424   17.78  2507137  69092   
256  62464    7.21   199657   9008    
256  625664   20.10  2566097  79045   
256  635904   18.40  2692697  101809  
256  646144   19.37  2653697  95422   
256  656384   18.94  2773105  115946  
256  666624   20.25  2776321  115651  
256  676864   21.80  2997185  155374  
256  687104   21.28  3026057  160028  
256  697344   22.89  2642569  91513   
256  707584   19.98  2738985  109739  
256  717824   22.03  3054817  161944  
256  72704    5.45   323793   7836    
256  728064   21.04  2895545  137140  
256  738304   22.99  2806377  120868  
256  748544   20.75  2701937  104035  
256  758784   22.13  3007009  156581  
256  769024   24.62  2953121  141089  
256  779264   23.82  3115809  172462  
256  789504   22.90  2844697  128538  
256  799744   24.45  2865017  129424  
256  809984   24.23  2786881  117915  
256  820224   23.97  2934273  143579  
256  82944    6.14   320985   7093    
256  830464   24.27  2837537  124620  
256  840704   23.35  2674049  98523   
256  850944   25.85  3095473  172559  
256  861184   23.37  2758217  107884  
256  871424   25.70  3109913  175302  
256  881664   26.15  3189129  184908  
256  891904   25.67  2994297  155128  
256  902144   24.70  3228529  191946  
256  912384   25.66  3063873  163340  
256  922624   23.41  2518545  69922   
256  93184    5.78   335137   9791    
256  932864   25.80  2611281  85728   
256  943104   28.80  2957105  147867  
256  953344   26.66  3026393  160750  
256  963584   25.66  3034689  162115  
256  973824   26.13  3132777  179510  
256  984064   24.52  2683137  100533  
256  994304   25.86  2892225  135998  
