m    n        time   heap     comparisons
256  1004544  27.92  2107982  1239442  
256  1014784  28.87  2107982  1267516  
256  1024     3.74   12878    1255     
256  1025024  37.75  2107982  1273537  
256  103424   7.22   272974   127524   
256  1035264  31.25  2107982  1294055  
256  1045504  30.70  2107982  1306635  
256  11264    4.53   43598    14033    
256  113664   7.14   272974   142053   
256  123904   6.94   272974   152803   
256  134144   7.54   535118   167790   
256  144384   7.05   535118   180507   
256  154624   8.77   535118   193501   
256  164864   7.52   535118   206003   
256  175104   7.82   535118   219371   
256  185344   10.46  535118   230772   
256  195584   9.96   535118   244404   
256  205824   10.65  535118   257066   
256  21504    5.43   76366    26892    
256  216064   11.51  535118   269846   
256  226304   10.22  535118   279377   
256  236544   10.95  535118   294727   
256  246784   11.27  535118   304862   
256  257024   11.53  535118   321137   
256  267264   12.37  1059406  333940   
256  277504   13.16  1059406  347066   
256  287744   13.46  1059406  359190   
256  297984   11.43  1059406  372705   
256  308224   13.78  1059406  384830   
256  31744    5.97   76366    39620    
256  318464   16.24  1059406  395286   
256  328704   13.27  1059406  410800   
256  338944   13.11  1059406  423539   
256  349184   13.45  1059406  436325   
256  359424   14.02  1059406  443059   
256  369664   13.19  1059406  461987   
256  379904   15.28  1059406  474510   
256  390144   14.72  1059406  487116   
256  400384   15.67  1059406  500137   
256  410624   13.71  1059406  513742   
256  41984    6.11   141902   52527    
256  420864   15.99  1059406  525663   
256  431104   17.07  1059406  538778   
256  441344   19.32  1059406  551758   
256  451584   14.74  1059406  557482   
256  461824   16.45  1059406  577089   
256  472064   18.72  1059406  590622   
256  482304   15.94  1059406  595039   
256  492544   18.90  1059406  614560   
256  502784   20.12  1059406  627998   
256  513024   23.20  1059406  641873   
256  52224    5.53   141902   64586    
256  523264   18.44  1059406  654240   
256  533504   19.83  2107982  667159   
256  543744   18.32  2107982  671207   
256  553984   19.07  2107982  692511   
256  564224   19.95  2107982  705628   
256  574464   19.59  2107982  717634   
256  584704   18.85  2107982  721378   
256  594944   20.63  2107982  743152   
256  605184   19.58  2107982  752012   
256  615424   22.03  2107982  769340   
256  62464    7.74   141902   78283    
256  625664   22.91  2107982  782379   
256  635904   22.49  2107982  794591   
256  646144   22.46  2107982  804397   
256  656384   23.46  2107982  820379   
256  666624   21.47  2107982  833043   
256  676864   22.84  2107982  846299   
256  687104   21.88  2107982  856470   
256  697344   21.64  2107982  866466   
256  707584   22.76  2107982  884038   
256  717824   24.81  2107982  896532   
256  72704    6.41   272974   90766    
256  728064   28.41  2107982  910690   
256  738304   24.91  2107982  922758   
256  748544   24.48  2107982  923263   
256  758784   27.11  2107982  948135   
256  769024   24.40  2107982  961452   
256  779264   27.04  2107982  961796   
256  789504   24.79  2107982  987235   
256  799744   24.43  2107982  998068   
256  809984   27.14  2107982  1012694  
256  820224   25.71  2107982  1018891  
256  82944    6.47   272974   103654   
256  830464   27.41  2107982  1034865  
256  840704   30.77  2107982  1037677  
256  850944   30.85  2107982  1060724  
256  861184   28.24  2107982  1074806  
256  871424   28.55  2107982  1085685  
256  881664   28.60  2107982  1101582  
256  891904   27.26  2107982  1101571  
256  902144   28.55  2107982  1127726  
256  912384   31.98  2107982  1135976  
256  922624   28.33  2107982  1138358  
256  93184    7.09   272974   116185   
256  932864   31.10  2107982  1151261  
256  943104   32.26  2107982  1171788  
256  953344   33.11  2107982  1191503  
256  963584   29.07  2107982  1203778  
256  973824   32.25  2107982  1215552  
256  984064   31.87  2107982  1213586  
256  994304   31.42  2107982  1240209  
