n time heap
tests/lc-1048576.in 426.01 33562624
tests/lc-1105920.in 520.81 35397632
tests/lc-1163264.in 478.36 37232640
tests/lc-1220608.in 499.28 39067648
tests/lc-1277952.in 531.35 40902656
tests/lc-1335296.in 580.11 42737664
tests/lc-1392640.in 604.54 44572672
tests/lc-1449984.in 612.46 46407680
tests/lc-1507328.in 619.70 48242688
tests/lc-1564672.in 671.06 50077696
tests/lc-1622016.in 690.89 51912704
tests/lc-1679360.in 706.69 53747712
tests/lc-1736704.in 865.40 55582720
tests/lc-1794048.in 774.40 57417728
tests/lc-1851392.in 828.81 59252736
tests/lc-1908736.in 818.80 61087744
tests/lc-1966080.in 852.05 62922752
tests/lc-2023424.in 867.57 64757760
tests/lc-2080768.in 918.00 66592768
tests/lc-2138112.in 912.02 68427776
tests/lc-2195456.in 946.65 70262784
tests/lc-2252800.in 967.72 72097792
tests/lc-2310144.in 988.07 73932800
tests/lc-2367488.in 1016.01 75767808
tests/lc-2424832.in 1037.71 77602816
tests/lc-2482176.in 1091.41 79437824
tests/lc-2539520.in 1385.74 81272832
tests/lc-2596864.in 1126.43 83107840
tests/lc-2654208.in 1172.90 84942848
tests/lc-2711552.in 1229.01 86777856
tests/lc-2768896.in 1238.92 88612864
tests/lc-2826240.in 1235.82 90447872
tests/lc-2883584.in 1223.07 92282880
tests/lc-2940928.in 1327.87 94117888
tests/lc-2998272.in 1332.28 95952896
tests/lc-3055616.in 1340.46 97787904
tests/lc-3112960.in 1333.98 99622912
tests/lc-3170304.in 1371.43 101457920
tests/lc-3227648.in 1416.05 103292928
tests/lc-3284992.in 1422.12 105127936
tests/lc-3342336.in 1469.84 106962944
tests/lc-3399680.in 1510.81 108797952
tests/lc-3457024.in 1494.14 110632960
tests/lc-3514368.in 1510.52 112467968
tests/lc-3571712.in 1631.05 114302976
tests/lc-3629056.in 1551.17 116137984
tests/lc-3686400.in 1569.60 117972992
tests/lc-3743744.in 1606.13 119808000
tests/lc-3801088.in 1658.51 121643008
tests/lc-3858432.in 1649.49 123478016
tests/lc-3915776.in 1783.53 125313024
tests/lc-3973120.in 1977.36 127148032
tests/lc-4030464.in 1744.37 128983040
tests/lc-4087808.in 1771.30 130818048
tests/lc-4145152.in 1828.49 132653056
tests/lc-4202496.in 1842.26 134488064
tests/lc-4259840.in 1950.30 136323072
tests/lc-4317184.in 1987.95 138158080
tests/lc-4374528.in 1908.96 139993088
tests/lc-4431872.in 1970.90 141828096
tests/lc-4489216.in 2011.59 143663104
tests/lc-4546560.in 2015.25 145498112
tests/lc-4603904.in 2050.46 147333120
tests/lc-4661248.in 2055.39 149168128
tests/lc-4718592.in 2118.12 151003136
tests/lc-4775936.in 2161.98 152838144
tests/lc-4833280.in 2299.82 154673152
tests/lc-4890624.in 2433.86 156508160
tests/lc-4947968.in 2219.85 158343168
tests/lc-5005312.in 2240.41 160178176
tests/lc-5062656.in 2258.24 162013184
tests/lc-5120000.in 2361.57 163848192
tests/lc-5177344.in 2602.50 165683200
tests/lc-5234688.in 2330.86 167518208
tests/lc-5292032.in 2350.10 169353216
tests/lc-5349376.in 2399.41 171188224
tests/lc-5406720.in 2395.44 173023232
tests/lc-5464064.in 2375.25 174858240
tests/lc-5521408.in 2442.00 176693248
tests/lc-5578752.in 2493.75 178528256
tests/lc-5636096.in 2560.25 180363264
tests/lc-5693440.in 2700.45 182198272
tests/lc-5750784.in 2584.02 184033280
tests/lc-5808128.in 2765.07 185868288
tests/lc-5865472.in 2566.18 187703296
tests/lc-5922816.in 2643.19 189538304
tests/lc-5980160.in 2677.53 191373312
tests/lc-6037504.in 2801.89 193208320
tests/lc-6094848.in 2816.24 195043328
tests/lc-6152192.in 2699.18 196878336
tests/lc-6209536.in 2692.87 198713344
tests/lc-6266880.in 2821.11 200548352
tests/lc-6324224.in 2817.61 202383360
tests/lc-6381568.in 2930.17 204218368
tests/lc-6438912.in 2858.59 206053376
tests/lc-6496256.in 2837.26 207888384
tests/lc-6553600.in 2889.53 209723392
tests/lc-6610944.in 2981.92 211558400
tests/lc-6668288.in 2907.08 213393408
tests/lc-6725632.in 2934.54 215228416
tests/lc-6782976.in 2949.30 217063424
tests/lc-6840320.in 3048.15 218898432
tests/lc-6897664.in 3022.41 220733440
tests/lc-6955008.in 3048.58 222568448
tests/lc-7012352.in 3032.73 224403456
tests/lc-7069696.in 3165.45 226238464
tests/lc-7127040.in 3097.05 228073472
tests/lc-7184384.in 3184.00 229908480
tests/lc-7241728.in 3287.10 231743488
tests/lc-7299072.in 3175.54 233578496
tests/lc-7356416.in 3870.10 235413504
tests/lc-7413760.in 3202.75 237248512
tests/lc-7471104.in 3317.31 239083520
tests/lc-7528448.in 3314.00 240918528
tests/lc-7585792.in 3616.43 242753536
tests/lc-7643136.in 3360.44 244588544
tests/lc-7700480.in 3421.85 246423552
tests/lc-7757824.in 3844.80 248258560
tests/lc-7815168.in 3560.11 250093568
tests/lc-7872512.in 3542.66 251928576
tests/lc-7929856.in 3462.11 253763584
tests/lc-7987200.in 3524.68 255598592
tests/lc-8044544.in 3644.26 257433600
tests/lc-8101888.in 3578.82 259268608
tests/lc-8159232.in 3595.99 261103616
tests/lc-8216576.in 3771.24 262938624
tests/lc-8273920.in 3756.47 264773632
tests/lc-8331264.in 3747.75 266608640
tests/lc-8388608.in 3824.56 268440576
