m    n        time    heap      comparisons
256  1003520  609.64  10132042  256835840  
256  1013760  604.20  10213962  259457280  
256  10240    8.96    121418    2556160    
256  102400   61.16   1088074   26149120   
256  1024000  613.31  10295882  262078720  
256  1034240  593.59  10377802  264700160  
256  1044480  610.96  10459722  267321600  
256  112640   68.91   1169994   28770560   
256  122880   71.88   1251914   31392000   
256  133120   78.95   1595978   34013440   
256  143360   80.98   1677898   36634880   
256  153600   91.22   1759818   39256320   
256  163840   96.16   1841738   41877760   
256  174080   102.51  1923658   44499200   
256  184320   108.29  2005578   47120640   
256  194560   120.52  2087498   49742080   
256  20480    16.33   236106    5177600    
256  204800   122.33  2169418   52363520   
256  215040   129.40  2251338   54984960   
256  225280   138.27  2333258   57606400   
256  235520   145.04  2415178   60227840   
256  245760   146.86  2497098   62849280   
256  256000   154.77  2579018   65470720   
256  266240   163.96  3185226   68092160   
256  276480   161.86  3267146   70713600   
256  286720   172.91  3349066   73335040   
256  296960   175.41  3430986   75956480   
256  30720    23.22   318026    7799040    
256  307200   196.47  3512906   78577920   
256  317440   183.05  3594826   81199360   
256  327680   198.48  3676746   83820800   
256  337920   210.57  3758666   86442240   
256  348160   213.87  3840586   89063680   
256  358400   207.83  3922506   91685120   
256  368640   222.92  4004426   94306560   
256  378880   228.00  4086346   96928000   
256  389120   238.49  4168266   99549440   
256  399360   244.86  4250186   102170880  
256  40960    29.20   465482    10420480   
256  409600   247.56  4332106   104792320  
256  419840   243.50  4414026   107413760  
256  430080   256.07  4495946   110035200  
256  440320   279.24  4577866   112656640  
256  450560   285.31  4659786   115278080  
256  460800   276.94  4741706   117899520  
256  471040   282.25  4823626   120520960  
256  481280   304.28  4905546   123142400  
256  491520   286.14  4987466   125763840  
256  501760   304.56  5069386   128385280  
256  51200    33.67   547402    13041920   
256  512000   309.40  5151306   131006720  
256  522240   314.88  5233226   133628160  
256  532480   318.31  6363722   136249600  
256  542720   322.61  6445642   138871040  
256  552960   331.51  6527562   141492480  
256  563200   335.29  6609482   144113920  
256  573440   338.75  6691402   146735360  
256  583680   344.34  6773322   149356800  
256  593920   357.65  6855242   151978240  
256  604160   350.88  6937162   154599680  
256  61440    42.28   629322    15663360   
256  614400   370.22  7019082   157221120  
256  624640   374.55  7101002   159842560  
256  634880   380.38  7182922   162464000  
256  645120   382.96  7264842   165085440  
256  655360   385.03  7346762   167706880  
256  665600   379.53  7428682   170328320  
256  675840   397.37  7510602   172949760  
256  686080   411.31  7592522   175571200  
256  696320   411.02  7674442   178192640  
256  706560   385.27  7756362   180814080  
256  71680    45.51   842314    18284800   
256  716800   429.40  7838282   183435520  
256  727040   429.76  7920202   186056960  
256  737280   410.24  8002122   188678400  
256  747520   445.36  8084042   191299840  
256  757760   443.39  8165962   193921280  
256  768000   455.98  8247882   196542720  
256  778240   458.11  8329802   199164160  
256  788480   461.79  8411722   201785600  
256  798720   479.03  8493642   204407040  
256  808960   476.35  8575562   207028480  
256  81920    55.81   924234    20906240   
256  819200   481.14  8657482   209649920  
256  829440   485.87  8739402   212271360  
256  839680   489.43  8821322   214892800  
256  849920   492.92  8903242   217514240  
256  860160   508.85  8985162   220135680  
256  870400   510.91  9067082   222757120  
256  880640   524.78  9149002   225378560  
256  890880   537.98  9230922   228000000  
256  901120   530.59  9312842   230621440  
256  911360   531.04  9394762   233242880  
256  92160    59.67   1006154   23527680   
256  921600   520.73  9476682   235864320  
256  931840   553.45  9558602   238485760  
256  942080   528.19  9640522   241107200  
256  952320   557.01  9722442   243728640  
256  962560   564.85  9804362   246350080  
256  972800   578.44  9886282   248971520  
256  983040   577.54  9968202   251592960  
256  993280   553.85  10050122  254214400  
