m    n        time   heap      comparisons
64   1004544  49.51  10141386  1339590  
64   1014784  53.31  10223306  1351775  
64   1024     4.41   18122     1298     
64   1025024  54.77  10305226  1367236  
64   103424   8.86   1097418   137729   
64   1035264  52.23  10387146  1379791  
64   1045504  54.04  10469066  1393987  
64   11264    4.80   130762    14942    
64   113664   10.46  1179338   151128   
64   123904   11.03  1261258   165305   
64   134144   11.70  1605322   178961   
64   144384   11.37  1687242   192777   
64   154624   11.27  1769162   206705   
64   164864   11.97  1851082   219378   
64   175104   13.84  1933002   233210   
64   185344   12.94  2014922   247188   
64   195584   15.29  2096842   261072   
64   205824   15.46  2178762   274546   
64   21504    5.07   245450    28565    
64   216064   15.16  2260682   287598   
64   226304   14.80  2342602   302326   
64   236544   16.88  2424522   315445   
64   246784   17.83  2506442   329138   
64   257024   16.61  2588362   342331   
64   267264   18.38  3194570   356060   
64   277504   18.72  3276490   370044   
64   287744   18.62  3358410   384085   
64   297984   19.78  3440330   396928   
64   308224   21.80  3522250   411050   
64   31744    6.04   327370    42199    
64   318464   21.03  3604170   424442   
64   328704   20.32  3686090   437641   
64   338944   22.24  3768010   451452   
64   349184   20.04  3849930   465560   
64   359424   22.73  3931850   480161   
64   369664   21.42  4013770   493665   
64   379904   24.45  4095690   506834   
64   390144   23.21  4177610   520246   
64   400384   24.62  4259530   534093   
64   410624   25.47  4341450   547169   
64   41984    7.12   474826    56058    
64   420864   24.70  4423370   561715   
64   431104   25.03  4505290   574685   
64   441344   26.86  4587210   588708   
64   451584   27.82  4669130   602152   
64   461824   27.33  4751050   615752   
64   472064   28.67  4832970   629751   
64   482304   27.50  4914890   643524   
64   492544   29.97  4996810   656772   
64   502784   34.12  5078730   669759   
64   513024   28.65  5160650   684089   
64   52224    6.12   556746    69461    
64   523264   28.16  5242570   697327   
64   533504   28.12  6373066   711662   
64   543744   29.39  6454986   725052   
64   553984   28.60  6536906   738677   
64   564224   30.36  6618826   752262   
64   574464   32.85  6700746   766361   
64   584704   32.56  6782666   779400   
64   594944   34.82  6864586   792977   
64   605184   34.32  6946506   806715   
64   615424   34.89  7028426   820632   
64   62464    7.04   638666    83070    
64   625664   39.30  7110346   834649   
64   635904   34.62  7192266   848237   
64   646144   36.02  7274186   861044   
64   656384   37.38  7356106   875000   
64   666624   36.22  7438026   889727   
64   676864   37.98  7519946   903208   
64   687104   38.00  7601866   916647   
64   697344   38.57  7683786   928799   
64   707584   38.90  7765706   943689   
64   717824   40.14  7847626   955966   
64   72704    8.29   851658    96583    
64   728064   45.78  7929546   970903   
64   738304   40.52  8011466   984124   
64   748544   40.07  8093386   998408   
64   758784   42.94  8175306   1011605  
64   769024   42.31  8257226   1024564  
64   779264   46.29  8339146   1038253  
64   789504   43.08  8421066   1052652  
64   799744   44.26  8502986   1066537  
64   809984   44.98  8584906   1079543  
64   820224   47.38  8666826   1093406  
64   82944    9.61   933578    110777   
64   830464   43.76  8748746   1107425  
64   840704   45.29  8830666   1120196  
64   850944   45.94  8912586   1133216  
64   861184   46.42  8994506   1148040  
64   871424   50.75  9076426   1160502  
64   881664   47.39  9158346   1175129  
64   891904   50.27  9240266   1189723  
64   902144   48.18  9322186   1203443  
64   912384   49.37  9404106   1216175  
64   922624   50.80  9486026   1230010  
64   93184    9.54   1015498   123841   
64   932864   46.64  9567946   1242502  
64   943104   48.73  9649866   1257228  
64   953344   53.34  9731786   1271725  
64   963584   50.11  9813706   1284736  
64   973824   55.40  9895626   1297684  
64   984064   62.13  9977546   1311295  
64   994304   51.97  10059466  1324771  
