n,m,time(ms),heap(bytes),comparisons
1,1,3.19,8294,2 
2,1,4.07,8298,5 
2,2,4.18,8318,5 
3,1,3.93,8306,9 
3,2,4.05,8326,10 
3,3,4.02,8366,9 
4,1,4.90,8322,19 
4,2,4.24,8342,21 
4,3,3.69,8382,17 
4,4,4.03,8462,16 
5,1,3.56,8362,38 
5,2,4.08,8374,40 
5,3,3.72,8414,37 
5,4,4.37,8494,38 
5,5,4.23,8654,41 
6,1,3.48,8442,73 
6,2,4.60,8438,82 
6,3,4.05,8478,79 
6,4,3.45,8558,82 
6,5,3.70,8718,84 
6,6,4.22,9038,78 
7,1,4.10,8666,161 
7,2,3.43,8566,161 
7,3,4.23,8606,164 
7,4,4.72,8686,159 
7,5,3.53,8846,154 
7,6,3.55,9166,155 
7,7,5.07,9806,165 
8,1,3.63,9050,319 
8,2,4.24,8822,333 
8,3,4.20,8862,330 
8,4,3.95,8942,307 
8,5,4.29,9102,317 
8,6,4.13,9422,312 
8,7,3.55,10062,328 
8,8,4.11,11342,318 
9,1,3.52,9562,634 
9,2,4.32,9334,637 
9,3,4.35,9374,636 
9,4,4.22,9454,643 
9,5,4.37,9614,634 
9,6,4.26,9934,649 
9,7,4.58,10574,625 
9,8,4.42,11854,621 
9,9,4.18,14414,637 
10,1,5.44,10842,1269 
10,2,5.50,10382,1272 
10,3,4.89,10398,1295 
10,4,4.74,10478,1280 
10,5,4.44,10638,1283 
10,6,4.60,10958,1280 
10,7,4.28,11598,1269 
10,8,5.41,12878,1254 
10,9,4.70,15438,1284 
10,10,4.71,20558,1295 
11,1,4.94,14426,2551 
11,2,4.57,12526,2536 
11,3,5.27,12446,2534 
11,4,5.08,12526,2541 
11,5,5.27,12686,2562 
11,6,4.41,13006,2544 
11,7,4.40,13646,2555 
11,8,5.20,14926,2541 
11,9,5.08,17486,2541 
11,10,4.41,22606,2574 
12,1,4.65,18522,5153 
12,2,4.95,16622,5096 
12,3,4.16,16542,5028 
12,4,5.88,16622,5048 
12,5,4.97,16782,5101 
12,6,5.18,17102,5128 
12,7,5.00,17742,5109 
12,8,4.70,19022,5124 
12,9,5.18,21582,5063 
