n           m   time     heap       comparisons

4           2    7.30     8298       4

8           2    3.61     8314       11

16          2    3.76     8322       19
16          4    3.34     8342       20

32          2    3.64     8354       43
32          4    2.56     8374       38

64          2    2.54     8426       80
64          4    2.36     8438       84
64          8    2.75     8478       71

128         2    2.42     8602       148
128         4    3.83     8566       161
128         8    3.77     8606       156

256         2    3.57     9050       317
256         4    2.96     8822       319
256         8    4.91     8862       332
256         16   5.34     8942       311

512         2    3.01     9562       648
512         4    2.63     9358       631
512         8    3.06     9374       653
512         16   2.43     9454       643

1024        2    3.18     11354      1290
1024        4    3.47     10382      1312
1024        8    4.05     10398      1264
1024        16   3.84     10478      1281
1024        32   4.09     10638      1278

2048        2    4.05     14426      2560
2048        4    4.11     12462      2552
2048        8    4.87     12446      2543
2048        16   8.11     12526      2553
2048        32   3.92     12686      2544

4096        2    4.06     20570      5121
4096        4    4.17     16622      5108
4096        8    4.20     16542      5047
4096        16   4.56     16622      5132
4096        32   4.72     16782      5141
4096        64   4.12     17102      5104

8192        2    4.36     32858      10238
8192        4    4.23     24942      10123
8192        8    4.22     24734      10148
8192        16   4.26     24814      10253
8192        32   3.53     24974      10169
8192        64   3.88     25294      10207

16384       2    4.64     49242      20469
16384       4    5.09     41582      20519
16384       8    4.77     41118      20399
16384       16   4.61     41198      20587
16384       32   4.00     41358      20207
16384       64   5.07     41678      20450
16384       128  4.83     42318      20393

32768       2    5.39     90202      41028
32768       4    5.02     74862      40896
32768       8    7.06     73886      40959
32768       16   5.29     73966      40990
32768       32   4.92     74126      40877
32768       64   5.50     74446      40862
32768       128  4.68     75086      40362

65536       2    7.04     172122     81979
65536       4    6.28     143470     81920
65536       8    5.27     139422     81984
65536       16   6.04     139502     81641
65536       32   6.24     139662     82048
65536       64   6.51     139982     81436
65536       128  5.94     140622     81011
65536       256  5.95     141902     81823

131072      2    8.06     335962     163647
131072      4    8.01     278638     163887
131072      8    6.98     270518     163278
131072      16   8.27     270574     163925
131072      32   8.20     270734     163204
131072      64   7.84     271054     162640
131072      128  8.19     271694     163902
131072      256  8.20     272974     163203

262144      2    12.25    663642     327927
262144      4    11.93    548974     327733
262144      8    11.68    532646     323273
262144      16   12.15    532718     327161
262144      32   11.28    532878     326206
262144      64   11.46    533198     327556
262144      128  12.63    533838     327797
262144      256  12.17    535118     325253
262144      512  12.14    537678     326647

524288      2    20.49    1319002    655744
524288      4    19.98    1089646    655319
524288      8    19.11    1057046    654523
524288      16   20.01    1057006    655781
524288      32   18.86    1057166    654809
524288      64   19.51    1057486    647044
524288      128  19.65    1058126    655742
524288      256  18.75    1059406    647154
524288      512  20.11    1061966    655377

1048576     2    33.61    2629722    1310345
1048576     4    34.04    2138222    1310413
1048576     8    36.48    2105750    1309488
1048576     16   33.83    2105582    1302367
1048576     32   33.87    2105742    1310841
1048576     64   34.40    2106062    1293942
1048576     128  34.22    2106702    1309828
1048576     256  34.93    2107982    1293498
1048576     512  34.59    2110542    1311174
1048576     1024 33.61    2115662    1310563

2097152     2    63.55    6299738    2621677
2097152     4    65.46    4333678    2620239
2097152     8    87.75    4203158    2605386
2097152     16   59.42    4202734    2621821
2097152     32   60.92    4202894    2621431
2097152     64   65.70    4203214    2621237
2097152     128  60.89    4203854    2588314
2097152     256  64.66    4205134    2621363
2097152     512  63.57    4207694    2619081
2097152     1024 63.72    4212814    2620657

4194304     2    130.31   12591194   5243946
4194304     4    118.53   8527982    5243058
4194304     8    125.72   8397462    5226971
4194304     16   116.90   8397038    5173942
4194304     32   127.01   8397198    5239869
4194304     64   125.51   8397518    5241738
4194304     128  127.17   8398158    5243416
4194304     256  118.51   8399438    5175545
4194304     512  121.79   8401998    5176486
4194304     1024 125.75   8407118    5242834
4194304     2048 122.50   8417358    5243449

8388608     2    243.23   25174106   10483620
8388608     4    240.41   17309806   10484916
8388608     8    250.34   16787606   10484980
8388608     16   245.57   16785646   10477863
8388608     32   244.36   16785806   10347157
8388608     64   230.33   16786126   10421007
8388608     128  245.73   16786766   10483817
8388608     256  255.03   16788046   10484162
8388608     512  260.46   16790606   10452011
8388608     1024 246.61   16795726   10488151
8388608     2048 239.84   16805966   10351417

16777216    2    491.95   41951322   20970921
16777216    4    493.65   34611310   20969359
16777216    8    503.52   33564822   20969157
16777216    16   501.70   33562862   20970234
16777216    32   487.83   33563022   20970465
16777216    64   485.20   33563342   20899304
16777216    128  482.76   33563982   20903079
16777216    256  465.58   33565262   20692372
16777216    512  459.77   33567822   20905376
16777216    1024 493.60   33572942   20710074
16777216    2048 475.78   33583182   20970364
16777216    4096 467.80   33603662   20843705

33554432    2    909.97   83894362   41942385
33554432    4    963.65   69214318   41940512
33554432    8    1053.59  67121302   41908544
33554432    16   1048.33  67117294   41938586
33554432    32   936.53   67117454   41413471
33554432    64   980.26   67117774   41943504
33554432    128  1015.94  67118414   41940150
33554432    256  978.62   67119694   41905339
33554432    512  982.46   67122254   41940557
33554432    1024 997.73   67127374   41901814
33554432    2048 982.09   67137614   41936087
33554432    4096 967.69   67158094   41941110

67108864    2    1983.55  167780442  83885622
67108864    4    1998.92  136323182  83884354
67108864    8    2023.52  134234262  83818662
67108864    16   1909.41  134226158  83886560
67108864    32   1906.24  134226318  83879739
67108864    64   1892.42  134226638  82766085
67108864    128  1931.94  134227278  83883542
67108864    256  2202.29  134228558  83885778
67108864    512  1947.47  134231118  83885363
67108864    1024 1831.73  134236238  83602651
67108864    2048 2089.06  134246478  83610395
67108864    4096 1953.11  134266958  83885616
67108864    8192 1942.25  134307918  82767958

134217728   2    3990.14  402661466  167769540
134217728   4    3881.17  272638062  167773467
134217728   8    3836.11  268460182  167643114
134217728   16   4083.66  268443886  167766854
134217728   32   4156.82  268444046  167769081
134217728   64   3981.81  268444366  167107177
134217728   128  3779.16  268445006  167602118
134217728   256  3852.50  268446286  167254478
134217728   512  4070.58  268448846  165663729
134217728   1024 3791.92  268453966  165656924
134217728   2048 3787.37  268464206  167768671
134217728   4096 3673.09  268484686  167734811
134217728   8192 3804.44  268525646  167369692
