m    n        time    heap      comparisons
16   1003520  69.53   10133482  16056080   
16   1013760  69.28   10215402  16219920   
16   10240    3.77    122858    163600     
16   102400   10.15   1089514   1638160    
16   1024000  68.46   10297322  16383760   
16   1034240  71.64   10379242  16547600   
16   1044480  68.82   10461162  16711440   
16   112640   10.68   1171434   1802000    
16   122880   12.58   1253354   1965840    
16   133120   12.84   1597418   2129680    
16   143360   13.59   1679338   2293520    
16   153600   14.19   1761258   2457360    
16   163840   16.03   1843178   2621200    
16   174080   16.52   1925098   2785040    
16   184320   16.35   2007018   2948880    
16   194560   17.63   2088938   3112720    
16   20480    4.68    237546    327440     
16   204800   18.31   2170858   3276560    
16   215040   17.80   2252778   3440400    
16   225280   19.52   2334698   3604240    
16   235520   21.14   2416618   3768080    
16   245760   20.49   2498538   3931920    
16   256000   23.45   2580458   4095760    
16   266240   22.35   3186666   4259600    
16   276480   22.73   3268586   4423440    
16   286720   23.82   3350506   4587280    
16   296960   23.44   3432426   4751120    
16   30720    7.97    319466    491280     
16   307200   24.70   3514346   4914960    
16   317440   24.33   3596266   5078800    
16   327680   26.77   3678186   5242640    
16   337920   25.45   3760106   5406480    
16   348160   28.81   3842026   5570320    
16   358400   27.45   3923946   5734160    
16   368640   27.80   4005866   5898000    
16   378880   32.05   4087786   6061840    
16   389120   29.65   4169706   6225680    
16   399360   29.97   4251626   6389520    
16   40960    8.40    466922    655120     
16   409600   30.40   4333546   6553360    
16   419840   31.36   4415466   6717200    
16   430080   30.75   4497386   6881040    
16   440320   33.27   4579306   7044880    
16   450560   34.10   4661226   7208720    
16   460800   35.47   4743146   7372560    
16   471040   35.22   4825066   7536400    
16   481280   36.06   4906986   7700240    
16   491520   35.88   4988906   7864080    
16   501760   38.86   5070826   8027920    
16   51200    8.32    548842    818960     
16   512000   37.05   5152746   8191760    
16   522240   40.25   5234666   8355600    
16   532480   38.61   6365162   8519440    
16   542720   42.29   6447082   8683280    
16   552960   40.56   6529002   8847120    
16   563200   39.38   6610922   9010960    
16   573440   43.33   6692842   9174800    
16   583680   43.51   6774762   9338640    
16   593920   42.68   6856682   9502480    
16   604160   45.81   6938602   9666320    
16   61440    8.50    630762    982800     
16   614400   45.73   7020522   9830160    
16   624640   46.48   7102442   9994000    
16   634880   44.84   7184362   10157840   
16   645120   46.76   7266282   10321680   
16   655360   46.23   7348202   10485520   
16   665600   48.28   7430122   10649360   
16   675840   48.34   7512042   10813200   
16   686080   52.85   7593962   10977040   
16   696320   52.84   7675882   11140880   
16   706560   50.91   7757802   11304720   
16   71680    9.76    843754    1146640    
16   716800   50.78   7839722   11468560   
16   727040   54.37   7921642   11632400   
16   737280   49.68   8003562   11796240   
16   747520   53.75   8085482   11960080   
16   757760   51.23   8167402   12123920   
16   768000   52.46   8249322   12287760   
16   778240   54.14   8331242   12451600   
16   788480   53.29   8413162   12615440   
16   798720   57.47   8495082   12779280   
16   808960   55.28   8577002   12943120   
16   81920    11.13   925674    1310480    
16   819200   53.13   8658922   13106960   
16   829440   57.10   8740842   13270800   
16   839680   59.65   8822762   13434640   
16   849920   62.14   8904682   13598480   
16   860160   61.37   8986602   13762320   
16   870400   60.71   9068522   13926160   
16   880640   62.46   9150442   14090000   
16   890880   59.06   9232362   14253840   
16   901120   60.51   9314282   14417680   
16   911360   63.93   9396202   14581520   
16   92160    11.45   1007594   1474320    
16   921600   63.90   9478122   14745360   
16   931840   65.35   9560042   14909200   
16   942080   65.67   9641962   15073040   
16   952320   69.74   9723882   15236880   
16   962560   64.29   9805802   15400720   
16   972800   66.66   9887722   15564560   
16   983040   71.06   9969642   15728400   
16   993280   64.30   10051562  15892240   
