n,m,time(ms),heap(bytes),comparisons
1,1,3.57,8274,1 
2,1,5.04,8294,4 
2,2,4.68,8282,1 
3,1,4.75,8334,8 
3,2,4.93,8322,6 
3,3,4.18,8298,1 
4,1,3.76,8414,18 
4,2,4.90,8402,20 
4,3,4.85,8378,10 
4,4,4.74,8330,1 
5,1,4.28,8582,37 
5,2,4.04,8562,39 
5,3,3.77,8538,31 
5,4,3.37,8490,20 
5,5,3.92,8394,1 
6,1,4.49,8918,72 
6,2,3.84,8882,84 
6,3,4.69,8858,72 
6,4,5.56,8810,67 
6,5,4.75,8714,49 
6,6,4.71,8522,1 
7,1,4.44,9654,160 
7,2,4.70,9522,171 
7,3,4.70,9498,171 
7,4,4.41,9450,149 
7,5,4.32,9354,124 
7,6,5.41,9162,88 
7,7,4.07,8778,1 
8,1,4.85,11062,318 
8,2,4.93,10802,360 
8,3,4.91,10778,356 
8,4,4.52,10730,302 
8,5,4.97,10634,301 
8,6,4.61,10442,243 
8,7,3.76,10058,174 
8,8,4.58,9290,1 
9,1,4.76,13622,633 
9,2,3.92,13362,665 
9,3,4.22,13338,669 
9,4,4.15,13290,667 
9,5,3.36,13194,647 
9,6,4.51,13002,615 
9,7,5.02,12618,498 
9,8,4.51,11850,330 
9,9,4.17,10314,1 
10,1,4.86,18998,1268 
10,2,5.04,18506,1346 
10,3,4.96,18458,1394 
10,4,5.43,18410,1358 
10,5,4.71,18314,1341 
10,6,5.11,18122,1294 
10,7,4.85,17738,1212 
10,8,4.69,16970,984 
10,9,5.54,15434,717 
10,10,4.16,12362,1 
11,1,4.42,30774,2551 
11,2,4.62,28842,2737 
11,3,5.39,28698,2679 
11,4,4.76,28650,2718 
11,5,5.75,28554,2686 
11,6,5.28,28362,2601 
11,7,4.80,27978,2557 
11,8,4.76,27210,2398 
11,9,5.09,25674,2056 
11,10,4.39,22602,1384 
12,1,5.61,51254,5152 
12,2,4.31,49322,5399 
12,3,5.95,49178,5331 
12,4,4.90,49130,5482 
12,5,5.16,49034,5483 
12,6,6.47,48842,5388 
12,7,5.66,48458,5324 
12,8,5.30,47690,5147 
12,9,5.80,46154,4721 
12,10,4.96,43082,4083 
13,1,6.09,98358,10164 
13,2,5.77,90666,10896 
13,3,5.24,90138,10876 
13,4,6.47,90090,10987 
13,5,5.46,89994,10913 
13,6,5.85,89802,10771 
13,7,6.09,89418,10764 
13,8,5.95,88650,10696 
13,9,6.04,87114,10205 
13,10,5.58,84042,9635 
14,1,6.62,188470,20448 
14,2,5.61,173098,21735 
14,3,5.74,172058,21877 
14,4,6.04,172010,21759 
14,5,7.24,171914,21767 
14,6,6.09,171722,21872 
14,7,6.04,171338,21697 
14,8,5.29,170570,21451 
14,9,5.51,169034,21151 
14,10,6.14,165962,20731 
15,1,7.78,352310,40994 
15,2,6.91,336938,43484 
15,3,7.13,335898,43709 
15,4,7.28,335850,43772 
15,5,7.78,335754,43764 
15,6,7.12,335562,43548 
15,7,7.53,335178,43634 
15,8,7.08,334410,43270 
15,9,7.31,332874,42844 
15,10,7.50,329802,42306 
16,1,10.21,696374,81899 
16,2,10.58,665642,87093 
16,3,10.23,663578,87491 
16,4,9.94,663530,87328 
16,5,10.02,663434,87405 
16,6,11.03,663242,87497 
16,7,9.31,662858,87363 
16,8,9.37,662090,86772 
16,9,9.54,660554,86574 
16,10,9.12,657482,85855 
17,1,15.77,1450038,164016 
17,2,14.37,1323050,173776 
17,3,14.64,1318938,174801 
17,4,14.66,1318890,174556 
17,5,15.61,1318794,175306 
17,6,14.60,1318602,174290 
17,7,15.53,1318218,174332 
17,8,17.16,1317450,174520 
17,9,15.11,1315914,173955 
17,10,14.92,1312842,173915 
18,1,24.46,2760758,327576 
18,2,23.25,2637866,348225 
18,3,23.79,2629682,349193 
18,4,24.84,2629610,348986 
18,5,24.64,2629514,349612 
18,6,25.16,2629322,349356 
18,7,23.25,2628938,349698 
18,8,24.09,2628170,350014 
18,9,25.42,2626634,348289 
18,10,24.81,2623562,348231 
19,1,42.33,5775414,655581 
19,2,42.85,5283882,696496 
19,3,40.96,5251154,699355 
19,4,43.56,5251050,698729 
19,5,43.64,5250954,698524 
19,6,41.20,5250762,699021 
19,7,42.05,5250378,699667 
19,8,45.09,5249610,697657 
19,9,43.38,5248074,697869 
19,10,41.46,5245002,697848 
20,1,81.58,11018294,1310828 
20,2,81.30,10559530,1392392 
20,3,79.08,10494226,1398027 
20,4,80.77,10493930,1398071 
20,5,75.99,10493834,1397318 
20,6,82.45,10493642,1398373 
20,7,81.03,10493258,1397873 
20,8,77.02,10492490,1398029 
20,9,78.02,10490954,1397892 
20,10,86.90,10487882,1397298 
21,1,151.59,23076918,2621784 
21,2,147.27,21110826,2784796 
21,3,155.21,20979986,2796059 
21,4,160.54,20979690,2797611 
21,5,148.16,20979594,2795175 
21,6,162.37,20979402,2797377 
21,7,147.00,20979018,2796623 
21,8,145.11,20978250,2796413 
21,9,150.16,20976714,2795647 
21,10,149.19,20973642,2794309 
22,1,296.27,44048438,5242143 
22,2,306.85,42213418,5569530 
22,3,282.83,41951762,5593689 
22,4,291.07,41951210,5591907 
22,5,298.01,41951114,5592846 
22,6,296.54,41950922,5593167 
22,7,295.93,41950538,5595161 
22,8,301.92,41949770,5592242 
22,9,286.08,41948234,5593998 
22,10,293.51,41945162,5591796 
23,1,583.34,92282934,10484651 
23,2,563.95,84418602,11142359 
23,3,571.01,83895314,11184884 
23,4,571.89,83894250,11188289 
23,5,568.29,83894154,11182400 
23,6,558.02,83893962,11184970 
23,7,576.99,83893578,11183845 
23,8,599.54,83892810,11184117 
23,9,573.37,83891274,11184169 
23,10,563.31,83888202,11184939 
24,1,1123.82,176169014,20972019 
24,2,1208.17,168304682,22280938 
24,3,1117.72,167784466,22375190 
24,4,1133.05,167780330,22369492 
24,5,1129.75,167780234,22366438 
24,6,1129.75,167780042,22371975 
24,7,1169.40,167779658,22367241 
24,8,1127.93,167778890,22369470 
24,9,1149.25,167777354,22364804 
24,10,1103.63,167774282,22365978 
25,1,2346.71,369106998,41943914 
25,2,2254.75,337649706,44564818 
25,3,2343.19,335560722,44734993 
25,4,2466.89,335552490,44737708 
25,5,2274.21,335552394,44745287 
25,6,2368.19,335552202,44745243 
25,7,2295.35,335551818,44733081 
25,8,2234.17,335551050,44745485 
25,9,2308.37,335549514,44739477 
25,10,2364.82,335546442,44740347 
26,1,4564.86,738205750,83886007 
26,2,4499.08,675291178,89132093 
26,3,4652.97,671105042,89484946 
26,4,4943.51,671096810,89477528 
26,5,4667.89,671096714,89470187 
26,6,4483.15,671096522,89476393 
26,7,4490.12,671096138,89478977 
26,8,4886.61,671095370,89472699 
26,9,4455.04,671093834,89474642 
26,10,4511.77,671090762,89480912 
27,1,9854.42,1409294390,167767355 
27,2,8973.14,1350574122,178258936 
27,3,8866.27,1342218258,178963641 
27,4,9629.42,1342185450,178946092 
27,5,10130.12,1342185354,178958514 
27,6,9806.26,1342185162,178963135 
27,7,9320.52,1342184778,178948456 
27,8,21867.89,1342184010,178967217 
27,9,9278.01,1342182474,178955598 
27,10,8933.86,1342179402,178946789 
