m    n        time   heap      comparisons
256  1004544  48.47  10140234  1338504  
256  1014784  51.16  10222154  1352477  
256  1024     4.25   16970     1014     
256  1025024  52.79  10304074  1366232  
256  103424   10.89  1096266   137376   
256  1035264  55.48  10385994  1380048  
256  1045504  53.64  10467914  1394144  
256  11264    4.62   129610    14642    
256  113664   9.97   1178186   151103   
256  123904   11.39  1260106   164580   
256  134144   10.72  1604170   178466   
256  144384   12.46  1686090   192204   
256  154624   11.56  1768010   206129   
256  164864   12.28  1849930   219765   
256  175104   14.24  1931850   233478   
256  185344   14.49  2013770   246675   
256  195584   14.88  2095690   260934   
256  205824   15.20  2177610   274675   
256  21504    5.85   244298    28723    
256  216064   15.66  2259530   287517   
256  226304   16.58  2341450   301570   
256  236544   15.16  2423370   315171   
256  246784   18.49  2505290   329293   
256  257024   17.60  2587210   342096   
256  267264   17.62  3193418   355824   
256  277504   18.75  3275338   370291   
256  287744   18.85  3357258   383071   
256  297984   20.33  3439178   397362   
256  308224   18.82  3521098   409598   
256  31744    5.85   326218    41952    
256  318464   20.28  3603018   423712   
256  328704   21.24  3684938   438132   
256  338944   19.87  3766858   452285   
256  349184   20.37  3848778   465201   
256  359424   22.35  3930698   478719   
256  369664   20.27  4012618   492057   
256  379904   23.52  4094538   505926   
256  390144   21.82  4176458   519262   
256  400384   24.78  4258378   533484   
256  410624   24.08  4340298   547930   
256  41984    7.63   473674    55839    
256  420864   25.32  4422218   560502   
256  431104   26.16  4504138   575032   
256  441344   27.28  4586058   588429   
256  451584   26.50  4667978   601839   
256  461824   27.11  4749898   615208   
256  472064   28.22  4831818   629865   
256  482304   27.06  4913738   642186   
256  492544   29.48  4995658   655820   
256  502784   29.85  5077578   669267   
256  513024   28.99  5159498   684376   
256  52224    7.72   555594    69633    
256  523264   30.47  5241418   697617   
256  533504   29.42  6371914   711742   
256  543744   28.77  6453834   724921   
256  553984   29.55  6535754   738353   
256  564224   29.92  6617674   752498   
256  574464   32.49  6699594   764878   
256  584704   35.30  6781514   779046   
256  594944   33.99  6863434   792388   
256  605184   34.84  6945354   806190   
256  615424   34.32  7027274   820144   
256  62464    8.31   637514    83160    
256  625664   34.61  7109194   833950   
256  635904   35.35  7191114   847644   
256  646144   36.86  7273034   861566   
256  656384   37.09  7354954   875074   
256  666624   36.81  7436874   888457   
256  676864   37.33  7518794   902281   
256  687104   37.82  7600714   916185   
256  697344   39.30  7682634   930519   
256  707584   39.10  7764554   942505   
256  717824   36.45  7846474   956362   
256  72704    8.48   850506    96428    
256  728064   42.37  7928394   970943   
256  738304   41.45  8010314   983933   
256  748544   40.78  8092234   996908   
256  758784   42.40  8174154   1010648  
256  769024   41.44  8256074   1025076  
256  779264   42.32  8337994   1038752  
256  789504   45.62  8419914   1053391  
256  799744   44.90  8501834   1065671  
256  809984   42.87  8583754   1079895  
256  820224   43.49  8665674   1092788  
256  82944    9.58   932426    110169   
256  830464   42.19  8747594   1106518  
256  840704   46.32  8829514   1120887  
256  850944   45.84  8911434   1134649  
256  861184   46.64  8993354   1146868  
256  871424   48.04  9075274   1161314  
256  881664   46.43  9157194   1174712  
256  891904   44.52  9239114   1189969  
256  902144   47.67  9321034   1202446  
256  912384   47.21  9402954   1215892  
256  922624   45.86  9484874   1230076  
256  93184    9.38   1014346   124154   
256  932864   49.92  9566794   1242546  
256  943104   51.94  9648714   1257295  
256  953344   48.33  9730634   1270843  
256  963584   53.89  9812554   1284886  
256  973824   49.54  9894474   1297156  
256  984064   54.28  9976394   1311147  
256  994304   52.98  10058314  1325206  
